fea_name,train_mean,train_median,validation_mean,validation_median,test_mean,test_median,mean_range_across_splits,median_range_across_splits,max_abs_mean_deviation_from_pooled,max_abs_median_deviation_from_pooled
BrowLowererL,0.09909552128076256,0.02497653942555185,0.202269395649117,0.0685804784297943,0.10643603394501443,0.0305885076522827,0.10317387436835444,0.04360393900424245,0.07856666219759377,0.0366325788199902
BrowLowererR,0.08627790612603352,0.0175897795706987,0.17767293547085064,0.052408380433917004,0.09868322421955714,0.02609708998352285,0.09139502934481712,0.03481860086321831,0.0683051066250102,0.028655947186052806
NoseWrinklerL,0.054754180685578246,1.4447490426228169e-10,0.13657571622558176,0.00117733736988155,0.08019063753480392,9.252635493339767e-07,0.08182153554000351,0.0011773372254066457,0.058013618995759936,0.0011773187425170102
NoseWrinklerR,0.055067444344852376,1.320052303143554e-12,0.13649063450975982,1.8058608475257643e-05,0.07951950907348733,2.3458250897334657e-09,0.08142319016490744,1.805860715520534e-05,0.057919537193909534,1.8058402610730828e-05
UpperLidRaiserR,0.07917689510089587,8.825383090993455e-09,0.14720461930783627,6.059653401280229e-07,0.15699389894961316,0.0081282653845846,0.07781700384871729,0.008128256559201508,0.0456192613620426,0.008127629165926398
LidTightenerR,0.1198560982768545,0.0129132838919758,0.1499690801206607,0.035001395270228344,0.19363943236588999,0.1095588728785514,0.07378333408903548,0.0966455889865756,0.050920798886070345,0.0832967404276132
CheekRaiserL,0.12805299693402214,0.0355245750397443,0.19584651949862128,0.0795564912259578,0.19244387455281406,0.08585998415946955,0.06779352256459914,0.05033540911972525,0.038586656364672095,0.03157503344118595
LidTightenerL,0.11370252638831649,0.0168735152110457,0.13522922030934723,0.0258991308510303,0.17809774882826987,0.09252162277698511,0.06439522243995338,0.07564810756593941,0.045501666422640585,0.06587619986385107
InnerBrowRaiserR,0.06077453893320862,0.014466894324868852,0.12404070317084699,0.04882282204926005,0.1039433727307435,0.0287093902006745,0.06326616423763837,0.034355927724391194,0.03971359191166329,0.025602439418435048
LipCornerDepressorL,0.07312254763739043,0.0015858052065595499,0.13500096850700483,0.0108606992289423,0.09259672127515939,0.010865643620491,0.0618784208696144,0.00927983841393145,0.043821426272116895,0.007040019729174701
InnerBrowRaiserL,0.06146859610357146,0.015965781174600048,0.12170926141589337,0.05161747150123115,0.10020163149234114,0.0275655481964349,0.06024066531232192,0.035651690326631104,0.03833346003021487,0.027278388850390953
ChinRaiserT,0.10939127236361179,0.02987062279134985,0.16951931581498905,0.05792758800089355,0.15344748468485153,0.03801480121910565,0.06012804345137726,0.0280569652095437,0.03708082574077573,0.019964398816227955
LipCornerDepressorR,0.06756898783077765,8.272780291918025e-07,0.1276669631957924,0.00238609721418465,0.08488630454335075,0.0093677500262856,0.06009797536501475,0.009366922748256408,0.04290998102055424,0.00925301918323385
CheekRaiserR,0.11606655725293095,0.02718384657055135,0.1696624422506962,0.0543808508664369,0.17573666993538445,0.07376323640346524,0.059670112682453494,0.04657938983291389,0.03466159020526355,0.03573359176516534
ChinRaiserB,0.08786567579985563,3.2640932090544084e-07,0.14736945806375493,9.681244046078064e-05,0.1241060838489875,5.159672355148359e-06,0.059503782263899296,9.64860311398752e-05,0.038306428231372924,9.478948777541518e-05
OuterBrowRaiserR,0.049439523441520826,0.00521346344612535,0.09421776229374283,0.02020432520657775,0.0996902915890916,0.02120222523808475,0.05025076814757077,0.0159887617919594,0.029269637679772725,0.010472190566360952
OuterBrowRaiserL,0.04459539017538744,0.0009443249145988,0.07344245825532157,0.0057995291426777,0.09400072006889892,0.01452579908072945,0.049405329893511485,0.01358147416613065,0.032160781016544494,0.01069471566006545
EyesLookUpR,0.0378028379522955,0.0,0.027972683630630487,0.0,0.07197592126614412,0.0,0.04400323763551363,0.0,0.028884828491153924,0.0
EyesLookUpL,0.03783935545143322,0.0,0.027972319784189435,0.0,0.07195231911054335,0.0,0.04397999932635392,0.0,0.02884608958195045,0.0
DimplerL,0.05103665829643553,5.693065463496794e-10,0.04176489491130418,6.54802989608072e-09,0.08382873050139679,0.0007825276697985,0.04206383559009261,0.0007825271004919536,0.027681606431828785,0.0007824917020683724
DimplerR,0.05420032638858706,2.18502449467195e-09,0.04455629387350757,2.7281540582180248e-08,0.08443146651661042,0.0014365696697495002,0.03987517264310285,0.0014365674847250055,0.02576419255993579,0.001436458012705001
LipSuckLB,0.07000109702219119,0.00589815154671665,0.07348100441799923,0.0203985953703522,0.10840725395278542,0.052890997380018206,0.038406156930594224,0.04699284583330156,0.029224169862180377,0.039602303877472905
LipStretcherR,0.026165139840203314,0.0013451206614263,0.04798014560624258,0.01074865553528065,0.06380277092902199,0.0108655062504112,0.03763763108881868,0.009520385588984898,0.024536414081581526,0.006802455696743
LipStretcherL,0.02455507896066287,9.28860972635448e-05,0.04501113852251394,0.0091409031301736,0.06027784632976776,0.0108656408265233,0.03572276736910489,0.010772754729259756,0.02334361913700627,0.006785598117858201
UpperLidRaiserL,0.08090961455868885,3.0877611578716824e-09,0.08408110193139129,1.288348983052856e-07,0.11467720417013677,0.00072197307599705,0.03376758961144792,0.0007219699882358921,0.025669632743111043,0.0007218684120963926
LipSuckRB,0.059478957363436405,0.0084438002668321,0.06530143428228682,0.0202827956527471,0.09148240352107279,0.03830247372388835,0.03200344615763638,0.02985867345705625,0.023700634193916673,0.02736257808282975
UpperLipRaiserR,0.12403421409030506,0.010865538846701349,0.13882263677886095,0.0362600460648536,0.1540109328541807,0.027500689029693548,0.02997671876387563,0.02539450721815225,0.020118732413071355,0.019079167395830147
EyesLookDownL,0.04315906201303,1.240136937585845e-09,0.048378999827169866,4.8377650330166944e-08,0.018968564839655793,3.5518098942321903e-19,0.029410434987514073,4.8377650329811765e-08,0.02005944223817351,4.828766640707638e-08
LowerLipDepressorL,0.033718082055367034,6.128153269124165e-14,0.057586667037850585,1.873548954867132e-10,0.061347126848342544,2.904648188639669e-09,0.02762904479297551,2.904586907106978e-09,0.016260669488979612,2.8982376665698945e-09
