split,fea_name,n,missing,mean,median,std,min,p01,p05,p25,p75,p95,p99,max,iqr,p99_p01,fraction_eq_0,fraction_le_0_01,fraction_le_0_05,fraction_ge_0_95,fraction_ge_0_99,n_unique
train,BrowLowererL,28920,0,0.09909552128076256,0.02497653942555185,0.16857937219793073,3.593277304709973e-34,8.874587852726983e-16,1.1350534911969137e-08,0.000916750548640225,0.12067389674484727,0.4578827321529386,0.8465783596038818,0.9999998807907104,0.11975714619620705,0.846578359603881,0.0,0.38858921161825727,0.6023167358229599,0.00318118948824343,0.0022130013831258644,25419
train,BrowLowererR,28920,0,0.08627790612603352,0.0175897795706987,0.15834866498507116,4.936205898951446e-37,2.2875882582122123e-18,9.312499105185167e-10,0.0003705449053086,0.09949105978012082,0.4208858177065849,0.8112544834613803,0.9999999403953552,0.09912051487481222,0.8112544834613803,0.0,0.43084370677731676,0.6435338865836792,0.0033195020746887966,0.002178423236514523,25411
train,CheekPuffL,28920,0,0.003943549169475119,3.3526424637799624e-14,0.016851166171370672,0.0,1.401298464324817e-45,1.401298464324817e-45,1.383541349086081e-32,5.58432338948478e-06,0.02124229175969958,0.06663744062185284,0.4163267314434051,5.58432338948478e-06,0.06663744062185284,0.007261410788381743,0.8724757952973721,0.9844398340248963,0.0,0.0,19926
train,CheekPuffR,28920,0,0.004386142728766446,2.6193134575365484e-13,0.016291644548114707,0.0,1.401298464324817e-45,1.401298464324817e-45,1.0323666288639061e-31,3.8527758078998886e-05,0.0270059239119291,0.06776693738996989,0.4023448228836059,3.8527758078998886e-05,0.06776693738996989,0.007261410788381743,0.8554287690179806,0.9833333333333333,0.0,0.0,20186
train,CheekRaiserL,28920,0,0.12805299693402214,0.0355245750397443,0.20177726223715484,1.401298464324817e-45,5.331907773627135e-22,1.0189204514843288e-10,0.008447507862001574,0.15008781477808947,0.589995393157005,0.8951846545934704,1.0,0.1416403069160879,0.8951846545934704,0.0,0.2636929460580913,0.5631051175656985,0.006950207468879668,0.005774550484094053,24890
train,CheekRaiserR,28920,0,0.11606655725293095,0.02718384657055135,0.1982765062194664,1.401298464324817e-45,4.517050833225714e-25,2.5670883333547177e-13,0.003959040972404125,0.11409065127372739,0.5782724022865295,0.9122188091278076,1.0,0.11013161030132326,0.9122188091278076,0.0,0.30338865836791146,0.6052213001383125,0.007330567081604426,0.005739972337482711,24890
train,CheekSuckL,28920,0,0.0008573246291557217,1.401298464324817e-45,0.01065383106950702,0.0,0.0,0.0,0.0,1.401298464324817e-45,1.1106913875228726e-16,0.01814328610897137,0.3120954036712646,1.401298464324817e-45,0.01814328610897137,0.36552558782849237,0.9878976486860305,0.9949515905947441,0.0,0.0,3049
train,CheekSuckR,28920,0,0.0010082607276567593,0.0,0.01331005863921459,0.0,0.0,0.0,0.0,1.401298464324817e-45,2.9335858448332655e-19,0.0172395799309015,0.4151268899440765,1.401298464324817e-45,0.0172395799309015,0.5859958506224067,0.9886237897648686,0.9950207468879668,0.0,0.0,2231
train,ChinRaiserB,28920,0,0.08786567579985563,3.2640932090544084e-07,0.18724393856768004,1.401298464324817e-45,1.401298464324817e-45,4.034758668330448e-42,1.312328535183187e-17,0.04435774497687815,0.5704569429159162,0.7704945278167724,1.0,0.04435774497687814,0.7704945278167724,0.0,0.6545643153526971,0.7547717842323651,0.0021438450899031814,0.0015560165975103733,24109
train,ChinRaiserT,28920,0,0.10939127236361179,0.02987062279134985,0.17573732080876547,1.401298464324817e-45,6.015844372269656e-40,1.810777136907227e-20,2.9218483064141765e-06,0.1215784922242164,0.5353483229875564,0.7434913963079457,1.0,0.12157557037590999,0.7434913963079457,0.0,0.3591286307053942,0.5733402489626556,0.001970954356846473,0.00169432918395574,25042
