reenactment_id,split,sequence_timestamp,set_id,participant_id,level_id,emoji_id,true_label_id,true_label,BrowLowererL,BrowLowererR,CheekPuffL,CheekPuffR,CheekRaiserL,CheekRaiserR,CheekSuckL,CheekSuckR,ChinRaiserB,ChinRaiserT,DimplerL,DimplerR,EyesClosedL,EyesClosedR,EyesLookDownL,EyesLookDownR,EyesLookLeftL,EyesLookLeftR,EyesLookRightL,EyesLookRightR,EyesLookUpL,EyesLookUpR,InnerBrowRaiserL,InnerBrowRaiserR,JawDrop,JawSidewaysLeft,JawSidewaysRight,JawThrust,LidTightenerL,LidTightenerR,LipCornerDepressorL,LipCornerDepressorR,LipCornerPullerL,LipCornerPullerR,LipFunnelerLB,LipFunnelerLT,LipFunnelerRB,LipFunnelerRT,LipPressorL,LipPressorR,LipPuckerL,LipPuckerR,LipStretcherL,LipStretcherR,LipSuckLB,LipSuckLT,LipSuckRB,LipSuckRT,LipTightenerL,LipTightenerR,LipsToward,LowerLipDepressorL,LowerLipDepressorR,MouthLeft,MouthRight,NoseWrinklerL,NoseWrinklerR,OuterBrowRaiserL,OuterBrowRaiserR,UpperLidRaiserL,UpperLidRaiserR,UpperLipRaiserL,UpperLipRaiserR
1700478995850-2-1-1-0-0,test,1700478995850,2,1,1,0,0,Anger,0.26083737611770624,0.2916273862123489,0.07419812083244323,0.06844904199242591,0.09529529213905326,0.060311046615242954,1.401298464324817e-45,1.401298464324817e-45,0.25915287435054774,0.20713266730308533,1.4993368183482108e-16,9.110230306364723e-17,0.005919438460841715,0.05928817056119434,0.0029582268092780903,0.02680077627301207,0.0,0.05805841647088527,0.060564201697707154,0.0,0.11732245236635203,0.11727642938494683,0.07557625323534005,0.07993551418185228,0.02879311908036465,0.0696295395493507,0.0669769279658794,0.026990506425499862,0.15259652584791183,0.06785665303468703,0.03269419148564336,0.02658017519861455,4.656214777011192e-15,4.290476623001921e-15,0.006091845454648111,0.05432647876441471,0.01004503024741999,0.0521802674978971,1.401298464324817e-45,1.401298464324817e-45,0.27034905552864075,0.28194346427917477,0.01085928883403532,0.0038747565587982312,0.002616702020168252,0.02714782599359744,2.0302513836778512e-10,0.0108656426891684,0.16301143616437913,0.14162240028381345,0.03795710578560823,0.024377155490219578,0.010737962648272481,3.2423842100115525e-08,2.249579935664771e-08,0.00736847808584566,0.0076171164400875525,1.5527833874392706e-13,0.00018776060896917004,1.401298464324817e-45,1.401298464324817e-45,0.02463012449443339,0.01086562555283304
1700478998549-2-1-1-1-5,test,1700478998549,2,1,1,1,5,Sadness,0.21552195101976396,0.1239482462406158,0.026696742884814682,0.02675254400819538,0.059484870359301514,0.02684816289693113,1.401298464324817e-45,1.401298464324817e-45,0.5901803195476533,0.5490156173706054,3.7126295865164165e-05,3.103704111708796e-05,0.0138881579041481,0.0052332233637571186,0.10577290505170832,0.09895271584391599,0.0,0.053640161082148516,0.05193449668586245,0.0,0.0,0.0,0.11359427198767658,0.10132035836577415,0.02716183625161642,0.057877537235617574,0.05277974307537072,0.1791600495576858,0.037299607694148966,0.004915197193622584,0.9460296511650086,0.9294707298278807,5.323975274222906e-05,3.914317712769846e-05,0.3205049127340317,0.13509202152490613,0.31984622478485103,0.13508339673280712,1.401298464324817e-45,1.401298464324817e-45,0.0813138782978057,0.09915794357657423,0.16728882193565361,0.1752698436379432,0.0038903395878150623,0.052803848311305045,0.01086511770263314,0.02503829337656491,0.18026175647974013,0.15751650184392926,0.026332192867994306,0.004267679667100223,0.004266719659790343,2.615982652720562e-10,2.207781211744088e-20,0.0008051019918638805,0.013121714815497341,0.00011274361022514003,0.020798755809664702,1.401298464324817e-45,1.401298464324817e-45,1.0201798522757607e-05,1.286443102799241e-06
1700479001137-2-1-1-2-3,test,1700479001137,2,1,1,2,3,Happiness,4.505479091676537e-06,4.699610690295234e-06,6.768882190866252e-11,6.798078766578906e-11,0.30061885416507717,0.31867109835147855,1.401298464324817e-45,1.401298464324817e-45,8.550905599232951e-15,0.19557155370712273,0.6029558122158051,0.5872494995594024,0.01585090793669221,5.1062122957782414e-15,0.01585055775940411,5.62521773952996e-12,0.08592864945530893,0.172072434425354,0.0,0.0,0.14857279956340788,0.14776862710714334,0.040841668844222974,0.06754236966371528,0.7346072971820832,3.493693771783328e-11,0.01086563831195228,0.4580868780612945,0.14458305239677424,4.0048163396644345e-10,0.021048830449581092,0.0322751138359308,0.5214335978031159,0.5210931479930878,2.777809438157508e-21,3.0832077630604197e-16,3.3866373103338383e-21,2.6390840577935793e-15,3.789269764631347e-09,1.401298464324817e-45,0.003942941897548682,1.299060197520326e-12,0.3149129122495651,0.35221882164478296,0.14322193115949625,0.18271051794290535,0.0923579707741737,0.16086595356464378,1.450999652368394e-16,1.1315840044148294e-16,0.035632479190826405,0.2707644701004028,0.27734283506870266,1.931750934807368e-22,0.0024890014901757,4.161816474069393e-16,4.5041697625879005e-14,0.0483344458043575,0.07369411066174501,1.401298464324817e-45,1.401298464324817e-45,0.7546147346496582,0.7335339903831481
1700479004312-2-1-1-3-0,test,1700479004312,2,1,1,3,0,Anger,0.12370947748422635,0.07932740151882178,0.0108656426891684,0.0108656622469425,0.057585294172167706,0.02789180893450975,1.401298464324817e-45,1.401298464324817e-45,0.12180578485131262,0.10951560661196712,3.2231801406983723e-22,8.33025566989736e-23,0.013165227137506,3.4797525900646224e-15,0.0,0.0,0.0,0.0,0.20382949709892273,0.11726197600364682,0.3312835276126861,0.3338460922241211,0.02508722301572555,0.0186555087566375,0.021360573358833727,0.0271642133593559,0.0271642487496137,0.0125719858333468,0.10699314475059508,0.0015548569383098908,0.012284265737980521,0.011759815365076011,0.0011562615982256008,0.0011562615982256008,1.1695756965878676e-35,0.0121211940422654,1.4279839940998136e-35,0.0111809596419334,1.792021081827286e-23,0.0007092524319887,0.18536802679300304,0.1747065633535385,0.00590935861691829,0.0021635799203068,0.10793698504567147,0.01907869838178149,0.09297124892473213,0.0108656445518136,0.12448888272047037,0.09869115576148031,0.02638049162924288,1.2681124692486869e-19,1.1021165781079302e-19,3.5000423392883585e-11,0.002458091638982272,3.5626371297503567e-10,3.5626371297503567e-10,2.447832381236026e-09,0.0029005521442740517,1.401298464324817e-45,1.401298464324817e-45,0.040682999789714756,0.020204039476811826
1700479005401-2-1-1-4-0,test,1700479005401,2,1,1,4,0,Anger,0.31279532909393304,0.28910509347915647,0.0108656426891684,0.019311542436480485,0.07124028950929633,0.0380297489464283,1.401298464324817e-45,1.401298464324817e-45,0.27296143472194667,0.2409658133983612,1.8971177916779598e-28,4.9029966421611216e-29,0.0311703719198703,0.005300429090857467,0.0,0.0,0.0,0.0321248322725296,0.08339493423700328,0.0,0.2120187133550644,0.21234268546104423,0.11722304895520208,0.10731071531772611,0.02470266763120881,0.0283937100321054,0.0271641090512275,0.024639927782118275,0.1339275985956192,0.03473613858222958,0.033097731694579094,0.0302851051092147,1.36690474050738e-07,1.3669044562902857e-07,6.890184549085126e-42,0.0271641071885824,8.411994681341877e-42,0.021778063103556563,1.0556658484847749e-29,0.0017299535800702412,0.21114992350339884,0.20778502672910684,0.010865641012787811,0.007023737113922771,0.06794687062501903,0.0280791297554969,0.06662296131253234,0.0109235867857933,0.15273462980985636,0.12690761834383005,0.0295823644846677,7.466691111135735e-26,6.489301077733053e-26,0.0003632635052781,0.008091767597943481,2.09854199392376e-16,2.09854199392376e-16,1.006463684095904e-12,0.0003583056095521,1.401298464324817e-45,1.401298464324817e-45,0.022880785167217255,0.0108656408265233
1700479007738-2-1-1-5-5,test,1700479007738,2,1,1,5,5,Sadness,0.1141557544469833,0.04644805192947387,7.795217041306489e-11,1.1028463003937018e-10,0.06034627705812448,0.02709450367838139,1.401298464324817e-45,1.401298464324817e-45,0.3609261810779571,0.3027539104223251,3.06073772549099e-07,3.0403554092117796e-07,0.014458852633833801,8.697337711138796e-11,0.014458532631397241,2.0273807632698048e-11,0.0,0.06537838876247407,0.03152953144162889,0.0,0.008738168329000595,0.008732739090919615,0.0918594971299171,0.08882922530174249,0.02700281981378792,0.01086561800912016,0.01086556846275917,0.01086557991802687,0.0472236089408397,0.00015851541393197008,0.9449455738067626,0.9092006087303162,6.973020106215716e-07,4.212989153984392e-07,1.401298464324817e-45,0.01034407047554845,1.401298464324817e-45,1.0602579231244761e-10,2.320326049167608e-41,3.795272849960797e-15,3.5848001007882215e-17,4.841312101238526e-17,0.26077801883220675,0.2875666409730911,0.01086417762562631,1.7347111906929094e-06,0.01086544916033743,7.071014397297416e-06,0.005129467183724031,1.2204673103849617e-14,0.010556213185191099,0.0090547129511833,0.0058658607304096,8.784086821833639e-06,9.369840281436849e-09,0.0356292214244604,0.0529282130300998,0.009871045686304501,0.02442723643034688,1.401298464324817e-45,1.401298464324817e-45,4.189494862139063e-09,0.02706790734082458
1700479015441-2-1-1-8-3,test,1700479015441,2,1,1,8,3,Happiness,0.006899340217933031,0.0008425221312790203,1.536422763103937e-13,8.000159101807444e-14,0.4534025490283966,0.4483640015125275,1.401298464324817e-45,1.401298464324817e-45,0.06519384011626236,0.06314496397972102,0.2751897871494293,0.310108807682991,0.026994372531771612,2.488493919372559e-07,0.04295776002109043,0.015997276268899383,0.03309062309563152,0.11986218839883797,0.016032883524894632,0.0,0.0,0.0,0.07371880337595933,0.15489285439252853,0.0172608494758605,8.381072316934897e-16,0.01086542047560206,4.295968528827965e-12,0.22233183979988094,0.0238240458071231,0.01086414922028773,0.01037022070959208,0.984574258327484,1.0,5.041925332642008e-14,8.132065170991105e-14,1.3972554700986215e-14,7.951217538115093e-14,1.401298464324817e-45,0.0011563240783288506,0.01086542047560206,0.01086542047560206,0.03802972361445426,0.03310611508786678,0.286726701259613,0.09774086028337474,0.22263798564672466,0.09455127865076057,5.280422831927703e-18,3.2439158270687856e-17,0.04042862206697456,4.3873782509589946e-14,9.18788225297458e-14,0.0108656426891684,0.0007439643959514,1.3992356750669532e-27,3.267665873554789e-28,0.08315647765994065,0.10480752959847445,1.401298464324817e-45,1.401298464324817e-45,0.2608730912208557,0.19948017299175258
1700479105264-2-1-2-0-4,test,1700479105264,2,1,2,0,4,Neutral,7.834961888875117e-06,4.041959755340941e-06,1.401298464324817e-45,2.2467859057598398e-41,0.01916128583252427,0.010714261885732341,1.401298464324817e-45,1.401298464324817e-45,3.208973483303833e-44,0.010929846111684993,0.0009257549594621338,0.0004253895749569917,0.0007246281718834908,8.281689570233123e-11,4.44842711999627e-08,3.638639580882e-14,0.0,0.04869373776018613,0.1867046758532524,0.09973993077874177,0.33938925564289096,0.341363075375557,8.04301189418766e-06,3.987999486199101e-10,0.01103315334767097,1.401298464324817e-45,3.121885978437494e-34,5.328192019078422e-05,1.3118904007569661e-08,1.220660039713551e-09,1.8689907399505056e-08,0.0017265380942262012,0.010317878052592211,0.003730486449785522,1.401298464324817e-45,3.207614223793437e-41,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,3.208973483303833e-44,2.1359992491703205e-42,3.208973483303833e-44,0.0037261163350194018,0.003724031522870042,0.03289048820734018,0.0027329574571922336,0.012552774790674405,0.0020836619427427117,1.401298464324817e-45,1.401298464324817e-45,0.01976888272911309,1.7633684819884413e-05,7.968461868585692e-05,0.00556751745752982,2.8718539724081912e-08,6.161700058752025e-37,1.9057659114817527e-44,0.003067835979163551,0.00027293865277895006,1.401298464324817e-45,1.401298464324817e-45,0.07838672697544094,0.026942487433552712
1700479106931-2-1-2-1-1,test,1700479106931,2,1,2,1,1,Disgust,5.697424754202982e-10,2.939569421211985e-10,1.401298464324817e-45,1.401298464324817e-45,0.021009510196745344,0.001127545023337,1.401298464324817e-45,1.401298464324817e-45,0.25898579657077786,0.20995912849903106,0.0004710104840341,0.0002899214741773,4.715257698184594e-12,3.910966598022676e-18,0.0,0.0,0.0,0.0,0.1681134551763534,0.0820866897702217,0.1441620439291,0.1449286788702011,0.00797798051498826,0.007114195683970988,0.23902787566184996,0.0107876027934253,0.017962154559791083,0.09237426742911335,3.1777703624732083e-16,2.9608102845723066e-17,0.7292746961116792,0.7118792474269868,0.0001911543949972,0.0001600559189682,1.401298464324817e-45,0.0108441468328237,1.401298464324817e-45,0.01086430940777055,0.042833278328180305,0.042724169790744705,0.1437793046236038,0.14433125853538512,0.06609471365809438,0.07457516193389889,0.0133676771074533,0.007279560901224581,0.0117964707314968,0.0096314971335232,0.0828884020447731,0.0827218294143676,0.19232446551322935,2.624057460375224e-15,1.1544716869765424e-14,0.0027956254780292,0.0001139738742494,1.5414283107572988e-44,0.0033322324510663627,4.252743019605987e-05,0.0001941166701726,1.401298464324817e-45,1.401298464324817e-45,0.0010130738373845,0.0010181141551584
1700479111705-2-1-2-3-2,test,1700479111705,2,1,2,3,2,Fear,3.4842649285258806e-22,1.797697806942791e-22,2.776542828542007e-07,2.0933670157319296e-07,0.01081178244203328,0.01085945703089233,3.4081965338828034e-08,9.374357219371639e-08,2.0154038935515943e-07,0.1031682938337326,0.27688131928443904,0.27448097467422483,1.5965130579737708e-34,1.1210387714598537e-44,8.382449239961595e-35,6.953411135795468e-41,0.0,0.07491490989923474,0.05254833213984961,0.0,0.0,0.0,0.13882643580436707,0.11515285670757293,0.6955714046955108,1.1913907655980446e-07,0.020237050577998156,0.0735564261674881,1.076053573495882e-38,1.0025875727898631e-39,0.1518435925245285,0.14246509224176404,0.09803591668605802,0.09887479841709135,7.507574428800019e-09,1.4528379277400925e-09,1.4595129727013055e-08,5.054377094637633e-09,1.299370652740884e-10,1.299371082952306e-10,7.034234820719435e-16,7.20387916173068e-16,0.5446473777294161,0.6050777554512026,0.10263668373227115,0.02649917732924217,0.0731503367424011,0.017493096180260116,2.905311772410936e-11,1.4017876026617422e-10,0.03147023692727085,0.3839923381805422,0.39458096623420724,3.6238123779320123e-22,0.003413741150870844,1.401298464324817e-45,1.1571372887653204e-10,0.0782341957092285,0.0777449749410152,1.401298464324817e-45,1.401298464324817e-45,0.23059888333082193,0.22921667695045472
